Conjure Celestial,Conjuration,Cleric,Action,90 feet,"V, S","C, up to 10 minutes"
Delayed Blast Fireball,Evocation,"Sorcerer, Wizard",Action,150 feet,"V, S, M","C, up to 1 minute"
Divine Word,Evocation,Cleric,Bonus Action,30 feet,V,Instantaneous
Etherealness,Conjuration,"Bard, Cleric, Sorcerer, Warlock, Wizard",Action,Self,"V, S",Up to 8 hours
Finger of Death,Necromancy,"Sorcerer, Warlock, Wizard",Action,60 feet,"V, S",Instantaneous
Fire Storm,Evocation,"Cleric, Druid, Sorcerer",Action,150 feet,"V, S",Instantaneous
Forcecage,Evocation,"Bard, Warlock, Wizard",Action,100 feet,"V, S, M(C*)","C, up to 1 hour"
Mirage Arcane,Illusion,"Bard, Druid, Wizard",10 minutes,Sight,"V, S",10 days
Mordenkainen's Magnificent Mansion,Conjuration,"Bard, Wizard",1 minute,300 feet,"V, S, M",24 hours
Mordenkainen's Sword,Evocation,"Bard, Wizard",Action,90 feet,"V, S, M(C)","C, up to 1 minute"
Plane Shift,Conjuration,"Cleric, Druid, Sorcerer, Warlock, Wizard",Action,Touch,"V, S, M(C)",Instantaneous
Power Word Fortify,Enchantment,"Bard, Cleric",Action,60 feet,V,Instantaneous
Prismatic Spray,Evocation,"Bard, Sorcerer, Wizard",Action,Self,"V, S",Instantaneous
Project Image,Illusion,"Bard, Wizard",Action,500 miles,"V, S, M","C, up to 1 day"
Regenerate,Transmutation,"Bard, Cleric, Druid",1 minute,Touch,"V, S, M",1 hour
Resurrection,Necromancy,"Bard, Cleric",1 hour,Touch,"V, S, M(C*)",Instantaneous
Reverse Gravity,Transmutation,"Druid, Sorcerer, Wizard",Action,100 feet,"V, S, M","C, up to 1 minute"
Sequester,Transmutation,Wizard,Action,Touch,"V, S, M(C*)",Until dispelled
Simulacrum,Illusion,Wizard,12 hours,Touch,"V, S, M(C*)",Until dispelled
Symbol,Abjuration,"Bard, Cleric, Druid, Wizard",1 minute,Touch,"V, S, M(C*)",Until dispelled or triggered
Teleport,Conjuration,"Bard, Sorcerer, Wizard",Action,10 feet,V,Instantaneous
