Arcane Gate,Conjuration,"Sorcerer, Warlock, Wizard",Action,500 feet,"V, S","C, up to 10 minutes"
Blade Barrier,Evocation,Cleric,Action,90 feet,"V, S","C, up to 10 minutes"
Chain Lightning,Evocation,"Sorcerer, Wizard",Action,150 feet,"V, S, M",Instantaneous
Circle Of Death,Necromancy,"Sorcerer, Warlock, Wizard",Action,150 feet,"V, S, M(C)",Instantaneous
Conjure Fey,Conjuration,Druid,Action,60 feet,"V, S","C, up to 10 minutes"
Contingency,Abjuration,Wizard,10 minutes,Self,"V, S, M(C)",10 days
Create Undead,Necromancy,"Cleric, Warlock, Wizard",1 minute,10 feet,"V, S, M(C)",Instantaneous
Disintegrate,Transmutation,"Sorcerer, Wizard",Action,60 feet,"V, S, M",Instantaneous
Drawmij's Instant Summons,Conjuration,Wizard,1 minute or R,Touch,"V, S, M(C)",Until dispelled
Eyebite,Necromancy,"Bard, Sorcerer, Warlock, Wizard",Action,Self,"V, S","C, up to 1 minute"
Find the Path,Divination,"Bard, Cleric, Druid",1 minute,Self,"V, S, M(C*)","C, up to 1 day"
Flesh to Stone,Transmutation,"Druid, Sorcerer, Wizard",Action,60 feet,"V, S, M","C, up to 1 minute"
Forbiddance,Abjuration,Cleric,10 minutes or R,Touch,"V, S, M(C)",1 day
Globe of Invulnerability,Abjuration,"Sorcerer, Wizard",Action,Self,"V, S, M","C, up to 1 minute"
Guards and Wards,Abjuration,"Bard, Wizard",1 hour,Touch,"V, S, M",24 hours
Harm,Necromancy,Cleric,Action,60 feet,"V, S",Instantaneous
Heal,Abjuration,"Cleric, Druid",Action,60 feet,"V, S",Instantaneous
Heroes' Feast,Conjuration,"Bard, Cleric, Druid",10 minutes,Self,"V, S, M(C*)",Instantaneous
Magic Jar,Necromancy,Wizard,1 minute,Self,"V, S, M(C)",Until dispelled
Mass Suggestion,Enchantment,"Bard, Sorcerer, Wizard",Action,60 feet,"V, M",24 hours
Move Earth,Transmutation,"Druid, Sorcerer, Wizard",Action,120 feet,"V, S, M","C, up to 2 hours"
Otiluke's Freezing Sphere,Evocation,"Sorcerer, Wizard",Action,300 feet,"V, S, M",Instantaneous
Otto's Irresistible Dance,Enchantment,"Bard, Wizard",Action,30 feet,V,"C, up to 1 minute"
Planar Ally,Conjuration,Cleric,10 minutes,60 feet,"V, S",Instantaneous
Programmed Illusion,Illusion,"Bard, Wizard",Action,120 feet,"V, S, M",Until dispelled
Summon Fiend,Conjuration,"Warlock, Wizard",Action,90 feet,"V, S, M(C)","C, up to 1 hour"
Sunbeam,Evocation,"Cleric, Druid, Sorcerer, Wizard",Action,Self,"V, S, M","C, up to 1 minute"
Tasha's Bubbling Cauldron,Conjuration,"Warlock, Wizard",Action,5 feet,"V, S, M",10 minutes
Transport via Plants,Conjuration,Druid,Action,10 feet,"V, S",1 minute
True Seeing,Divination,"Bard, Cleric, Sorcerer, Warlock, Wizard",Action,Touch,"V, S, M(C*)",1 hour
Wall of Ice,Evocation,Wizard,Action,120 feet,"V, S, M","C, up to 10 minutes"
Wall of Thorns,Conjuration,Druid,Action,120 feet,"V, S, M","C, up to 10 minutes"
Wind Walk,Transmutation,Druid,1 minute,30 feet,"V, S, M",8 hours
Word of Recall,Conjuration,Cleric,Action,5 feet,V,Instantaneous
