Animate Objects,Transmutation,"Bard, Sorcerer, Wizard",Action,120 feet,"V, S","C, up to 1 minute"
Antilife Shell,Abjuration,Druid,Action,Self,"V, S",C up to 1 hour
Awaken,Transmutation,"Bard, Druid",8 Hours,Touch,"V, S, M(C*)",Instantaneous
Banishing Smite,Conjuration,Paladin,Bonus Action,Self,V,"C, up to 1 minute"
Bigby's Hand,Evocation,"Sorcerer, Wizard",Action,120 feet,"V, S, M","C, up to 1 minute"
Circle Of Power,Abjuration,"Cleric, Paladin, Wizard",Action,Self,V,"C, up to 10 minutes"
Cloudkill,Conjuration,"Sorcerer, Wizard",Action,120 feet,"V, S","C, up to 10 minutes"
Commune,Divination,Cleric,1 minute or R,Self,"V, S, M",1 minute
Commune With Nature,Divination,"Druid, Ranger",1 minute or R,Self,"V, S",Instantaneous
Cone Of Cold,Evocation,"Druid, Sorcerer, Wizard",Action,Self,"V, S, M",Instantaneous
Conjure Elemental,Conjuration,"Druid, Wizard",Action,60 feet,"V, S","C, up to 10 minutes"
Conjure Volley,Conjuration,Ranger,Action,150 feet,"V, S, M(C)",Instantaneous
Contact Other Plane,Divination,"Warlock, Wizard",1 minute or R,Self,V,1 minute
Contagion,Necromancy,"Cleric, Druid",Action,Touch,"V, S",7 days
Creation,Illusion,"Sorcerer, Wizard",1 minute,30 feet,"V, S, M",Special
Destructive Wave,Evocation,Paladin,Action,Self,V,Instantaneous
Dispel Evil and Good,Abjuration,"Cleric, Paladin",Action,Self,"V, S, M","C, up to 1 minute"
Dominate Person,Enchantment,"Bard, Sorcerer, Wizard",Action,60 feet,"V, S","C, up to 1 minute"
Dream,Illusion,"Bard, Warlock, Wizard",1 minute,Special,"V, S, M",8 hours
Flame Strike,Evocation,Cleric,Action,60 feet,"V, S, M",Instantaneous
Geas,Enchantment,"Bard, Cleric, Druid, Paladin, Wizard",1 minute,60 feet,V,30 days
Greater Restoration,Abjuration,"Bard, Cleric, Druid, Paladin, Ranger",Action,Touch,"V, S, M(C*)",Instantaneous
Hallow,Abjuration,Cleric,24 hours,Touch,"V, S, M(C*)",Until dispelled
Hold Monster,Enchantment,"Bard, Sorcerer, Warlock, Wizard",Action,90 feet,"V, S, M","C, up to 1 minute"
Insect Plague,Conjuration,"Cleric, Druid, Sorcerer",Action,300 feet,"V, S, M","C, up to 10 minutes"
Jallarzi's Storm of Radiance,Evocation,"Warlock, Wizard",Action,120 feet,"V, S, M","C, up to 1 minute"
Legend Lore,Divination,"Bard, Cleric, Wizard",10 minutes,Self,"V, S, M(C*)",Instantaneous
Mass Cure Wounds,Abjuration,"Bard, Cleric, Druid",Action,60 feet,"V, S",Instantaneous
Mislead,Illusion,"Bard, Warlock, Wizard",Action,Self,S,"C, up to 1 hour"
Modify Memory,Enchantment,"Bard, Wizard",Action,30 feet,"V, S","C, up to 1 minute"
Passwall,Transmutation,Wizard,Action,30 feet,"V, S, M",1 hour
Planar Binding,Abjuration,"Bard, Cleric, Druid, Warlock, Wizard",1 hour,60 feet,"V, S, M(C*)",24 hours
Raise Dead,Necromancy,"Bard, Cleric, Paladin",1 hour,Touch,"V, S, M(C*)",Instantaneous
Rary's Telepathic Bond,Divination,"Bard, Wizard",Action or R,30 feet,"V, S, M",1 hour
Reincarnate,Necromancy,Druid,1 hour,Touch,"V, S, M(C*)",Instantaneous
Scrying,Divination,"Bard, Cleric, Druid, Warlock, Wizard",10 minutes,Self,"V, S, M","C, up to 10 minutes"
Seeming,Illusion,"Bard, Sorcerer, Wizard",Action,30 feet,"V, S",8 hours
Steel Wind Strike,Conjuration,"Ranger, Wizard",Action,30 feet,"S, M",Instantaneous
Summon Celestial,Conjuration,"Cleric, Paladin",Action,90 feet,"V, S, M(C)","C, up to 1 hour"
Summon Dragon,Conjuration,Wizard,Action,60 feet,"V, S, M(C)","C, up to 1 hour"
Swift Quiver,Transmutation,Ranger,Bonus Action,Self,"V, S, M","C, up to 1 minute"
Synaptic Static,Enchantment,"Bard, Sorcerer, Warlock, Wizard",Action,120 feet,"V, S",Instantaneous
Telekinesis,Transmutation,"Sorcerer, Wizard",Action,60 feet,"V, S","C, up to 10 minutes"
Teleportation Circle,Conjuration,"Bard, Sorcerer, Warlock, Wizard",1 minute,10 feet,"V, M (C*)",1 round
Tree Stride,Conjuration,"Druid, Ranger",Action,Self,"V, S","C, up to 1 minute"
Wall of Force,Evocation,Wizard,Action,120 feet,"V, S, M","C, up to 10 minutes"
Wall of Stone,Evocation,"Druid, Sorcerer, Wizard",Action,120 feet,"V, S, M","C, up to 10 minutes"
Yolande's Regal Presence,Enchantment,"Bard, Wizard",Action,Self,"V, S, M","C, up to 1 minute"
